"证券代码
Securities Code","证券名称
Securities Name","证券英文名称
Securities Name(Eng.)","交易所
Exchange","中证一级代码
CICS 1st Level Code","中证一级名称
CICS 1st Level Name","中证一级英文名称
CICS 1st Level Name(Eng.)","中证二级代码
CICS 2nd Level Code","中证二级名称
CICS 2nd Level Name","中证二级英文名称
CICS 2nd Level Name(Eng.)","中证三级代码
CICS 3rd Level Code","中证三级名称
CICS 3rd Level Name","中证三级英文名称
CICS 3rd Level Name(Eng.)","中证四级代码
CICS 4th Level Code","中证四级名称
CICS 4th Level Name","中证四级英文名称
CICS 4th Level Name(Eng.)","沪深300行业指数
CSI300 Sector Index","沪深300行业指数英文名称
CSI300 Sector Index Name (Eng.)"
002309,中利集团,"Jiangsu Zhongli Group Co.,Ltd",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010403,新能源设备,New Energy Equipment,,
002310,东方园林,Beijing Orient Landscape Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010303,园林工程,Garden Engineering,,
002311,海大集团,Guangdong Haid Group Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040204,农牧渔产品,"Agriculture,Animal Husbandry and Fishery Products",04020403,其他农产品,Other Agriculture Products,300消费,CSI 300 Cons Staples
002312,三泰控股,"Chengdu Santai Holding Group Co., Ltd.",Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010206,化肥与农药,Fertilizers & Agricultural Chemicals,,
002313,日海智能,"Sunsea AIoT Technology Co., Ltd.",Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020102,通信传输设备,Communication Transmission Equipment,,
002314,南山控股,"Shenzhen New Nanshan Holding (Group) Co.,Ltd",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
002315,焦点科技,Focus Technology Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070101,互联网服务,Internet Services,07010101,互联网信息服务,Internet Information Services,,
002316,亚联发展,"Shenzhen Asia Link Technology Development Co.,Ltd.",Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020103,其它通信设备,Other Communications Equipment,,
002317,众生药业,Guangdong Zhongsheng Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
002318,久立特材,Zhejiang Jiuli Hi-tech Metals Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010106,钢铁,Steel,01010601,钢铁,Steel,,
002319,乐通股份,Letong Chemical Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010204,印染化学品,Dyeing and Printing Chemicals,,
002320,海峡股份,Hainan Strait Shipping Co Ltd,Shenzhen,02,工业,Industrials,0203,交通运输,Transportation,020303,航运,Marine,02030301,航运,Marine,,
002321,华英农业,Henan Huaying Agricultural Development Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040204,农牧渔产品,"Agriculture,Animal Husbandry and Fishery Products",04020401,畜牧产品,Livestock Products,,
002322,理工环科,"Ningbo Ligong Environment And Energy Technology Co.,Ltd",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070103,软件开发,Software Development,07010301,软件开发,Software Development,,
002323,ST百特,"JiangSu Yabaite Technology CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010301,土木工程,Civil Engineering,,
002324,普利特,Shanghai Pret Composites Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010202,塑料制品,Plastics,,
002325,洪涛股份,Shenzhen Hongtao Decoration Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010302,建筑装修,Building Decoration Engineering,,
002326,永太科技,Zhejiang Yongtai Technology Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010101,化学原料,Chemical Materials,01010101,化学原料,Chemical Materials,,
002327,富安娜,Shenzhen Fuanna Bedding and Furnishing Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030203,纺织服装,Textiles & Apparel,03020303,纺织品,Textiles,,
002328,新朋股份,Shanghai Xinpeng Industrial Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
002329,皇氏集团,"Royal Group Co., Ltd.",Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040202,包装食品与肉类,Packaged Foods & Meats,04020201,包装食品与肉类,Packaged Foods & Meats,,
002330,得利斯,Shandong Delisi Food Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040202,包装食品与肉类,Packaged Foods & Meats,04020201,包装食品与肉类,Packaged Foods & Meats,,
002331,皖通科技,Anhui Wantong Technology Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002332,仙琚制药,Zhejiang Xianju Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
002333,*ST罗普,Suzhou Lopsking Aluminum Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020102,建筑产品,Building Products,02010201,建筑产品,Building Products,,
002334,英威腾,Shenzhen INVT Electric Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002335,科华恒盛,"KE HUA HENG SHENG CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002336,*ST人乐,Renrenle Commercial Group Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0401,食品与主要用品零售,Food & Staples Retailing,040101,食品与主要用品零售,Food & Staples Retailing,04010102,大卖场与超市,Hypermarkets & Super Centers,,
002337,赛象科技,Tianjin Saixiang Technology Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010607,其他机械设备,Other Machinery,,
002338,奥普光电,Changchun Up Optotech Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020202,光电子器件,Optoelectronic Devices,,
002339,积成电子,Integrated Electronic Systems Lab Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002340,格林美,Shenzhen Green Eco-manufacture Hi-tech Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010105,有色金属,Non-ferrous Metal,01010505,其它有色金属及合金,Other Non-ferrous Metal ,,
002341,新纶科技,Shenzhen Selen Science & Technology Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020107,环保设备、工程与服务,"Environmental Protection Equipment, Engineering and Service",02010701,环保设备,Environmental Protection Equipment,,
002342,巨力索具,Juli Sling Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010601,通用机械,General Machinery,,
002343,慈文传媒,"Ciwen Media Co.,Ltd.",Shenzhen,03,可选消费,Consumer Discretionary,0304,传媒,Media,030401,传媒,Media,03040103,电影与娱乐,Movies & Entertainment,,
002344,海宁皮城,Haining China Leather Market Co Ltd,Shenzhen,02,工业,Industrials,0202,商业服务与用品,Commercial Services & Supplies,020201,商业服务与用品,Commercial Services & Supplies,02020102,市场服务,Market Services,,
002345,潮宏基,Guangdong CHJ Industry Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030204,珠宝与奢侈品,Jewellery & Luxury Goods,03020401,珠宝与奢侈品,Jewellery & Luxury Goods,,
002346,柘中股份,"Shanghai Zhezhong Group Co., Ltd",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002347,泰尔股份,"Taier Heavy Industry Co., Ltd.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010601,通用机械,General Machinery,,
002348,高乐股份,Goldlok Toys Holdings (Guangdong) Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030202,休闲设备与用品,Leisure Equipment & Products,03020201,休闲设备与用品,Leisure Equipment & Products,,
002349,精华制药,Nantong Jinghua Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
002350,北京科锐,Beijing Creative Distribution Automation Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002351,漫步者,Edifier Technology Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020101,消费电子产品,Consumer Electronics,,
002352,顺丰控股,"S.F. Holding Co., Ltd.",Shenzhen,02,工业,Industrials,0203,交通运输,Transportation,020301,航空货运与物流,Air Freight & Logistics,02030102,物流,Logistics,300工业,CSI 300 Industrials
002353,杰瑞股份,Yantai Jereh Oilfield Services Group Co Ltd,Shenzhen,00,能源,Energy,0001,能源,Energy,000101,能源开采设备与服务,Energy Equipment & Services,00010102,石油与天然气开采设备与服务,Oil & Gas Equipment & Services,,
002354,天神娱乐,"Dalian Zeus Entertainment Co., Ltd.",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070101,互联网服务,Internet Services,07010101,互联网信息服务,Internet Information Services,,
002355,兴民智通,"Xingmin Intelligent Transportation Systems (Group) Co., Ltd.",Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
002356,*ST赫美,"Shenzhen Hemei Group Co.,LTD.",Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030204,珠宝与奢侈品,Jewellery & Luxury Goods,03020401,珠宝与奢侈品,Jewellery & Luxury Goods,,
002357,富临运业,Sichuan Fulin Transportation Group Co Ltd,Shenzhen,02,工业,Industrials,0203,交通运输,Transportation,020305,交通基本设施,Transportation Infrastructure,02030502,高速公路,Highways,,
002358,森源电气,Henan Senyuan Electric Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002359,*ST北讯,"NORTHCOM GROUP CO., LTD.",Shenzhen,08,电信业务,Telecommunication Services,0801,电信服务,Telecom Services,080102,电信增值服务,Telecom Value Added Service,08010201,电信增值服务,Telecom Value Added Service,,
002360,同德化工,Shanxi Tond Chemical Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010207,其他化学制品,Other Chemicals,,
002361,神剑股份,Anhui Shenjian New Materials Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010205,纤维及树脂,Fiber and Resin,,
002362,汉王科技,Hanwang Technology Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020101,消费电子产品,Consumer Electronics,,
002363,隆基机械,Shandong Longji Machinery Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
002364,中恒电气,Hangzhou Zhongheng Electric Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002365,永安药业,Qianjiang Yongan Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
002366,台海核电,"Taihai Manoir Nuclear Equipment Co.,Ltd.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
002367,康力电梯,Canny Elevator Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010607,其他机械设备,Other Machinery,,
002368,太极股份,Taiji Computer Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002369,卓翼科技,Shenzhen Zowee Tech. Co Ltd,Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020101,通信终端设备,Communication Terminal Equipment,,
002370,亚太药业,Zhejiang Yatai Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
002371,北方华创,"NAURA Technology Group Co.,Ltd.",Shenzhen,07,信息技术,Information Technology,0703,半导体,Semiconductors,070301,半导体,Semiconductors,07030101,半导体,Semiconductors,,
002372,伟星新材,Zhejiang Weixing New Building Materials Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020102,建筑产品,Building Products,02010201,建筑产品,Building Products,,
002373,千方科技,Surekam Corporation,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002374,丽鹏股份,Shandong Lipeng Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010303,园林工程,Garden Engineering,,
002375,亚厦股份,Zhejiang Yasha Decoration Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010302,建筑装修,Building Decoration Engineering,,
002376,新北洋,Shandong New Beiyang Information Technology Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070201,电脑与外围设备,Computers & Peripherals,07020101,电脑与外围设备,Computers & Peripherals,,
002377,国创高新,Hubei Guochuang Hi-tech Material Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060502,房地产管理与服务,Real Estate Management & Services,06050201,房地产管理与服务,Real Estate Management & Services,,
002378,章源钨业,Chongyi Zhangyuan Tungsten Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010105,有色金属,Non-ferrous Metal,01010504,稀有金属,Rare Metals,,
002379,宏创控股,Shandong Hongchuang Aluminum Industry Holding Company Limited,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010105,有色金属,Non-ferrous Metal,01010501,铝,Aluminum,,
002380,科远智慧,"Nanjing Sciyon Wisdom Technology Group Co., Ltd.",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002381,双箭股份,Zhejiang Double Arrow Rubber Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010203,橡胶制品,Rubber,,
002382,蓝帆医疗,"BLUE SAIL MEDICAL CO., LTD.",Shenzhen,05,医药卫生,Health Care,0501,医疗器械与服务,Health Care Devices and Services,050101,医疗器械,Health Care Devices,05010101,医疗器械,Medical Devices,,
002383,合众思壮,Beijing UniStrong Science & Technology Co Ltd,Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020101,通信终端设备,Communication Terminal Equipment,,
002384,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020201,电子设备及仪表制造商,Electronic Equipment & Instrument Manufacturer,,
002385,大北农,Beijing Dabeinong Technology Group Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040204,农牧渔产品,"Agriculture,Animal Husbandry and Fishery Products",04020403,其他农产品,Other Agriculture Products,,
002386,天原集团,Yibin Tianyuan Group Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010101,化学原料,Chemical Materials,01010101,化学原料,Chemical Materials,,
002387,维信诺,Visionox Technology Inc.,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020202,光电子器件,Optoelectronic Devices,,
002388,新亚制程,Shenzhen Sunyes Electronic Manufacturing Holding Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020201,电子设备及仪表制造商,Electronic Equipment & Instrument Manufacturer,,
002389,航天彩虹,"Aerospace CH UAV Co., Ltd",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020101,航空航天与国防,Aerospace & Defense,02010101,航空航天与国防,Aerospace & Defense,,
002390,信邦制药,Guizhou Xinbang Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
002391,长青股份,"Jiangsu Changqing Agrichemical Co., Ltd.",Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010206,化肥与农药,Fertilizers & Agricultural Chemicals,,
002392,北京利尔,Beijing Lier High-temperature Materials Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010107,非金属采矿及制品, Non metalMining & Products,01010701,非金属采矿及制品,Non metalMining & Products,,
002393,力生制药,Tianjin Lisheng Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
002394,联发股份,Jiangsu Lianfa Textile Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030203,纺织服装,Textiles & Apparel,03020303,纺织品,Textiles,,
002395,双象股份,Wuxi Double Elephant Micro Fibre Material Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010207,其他化学制品,Other Chemicals,,
002396,星网锐捷,Fujian Star-net Communication Co Ltd,Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020101,通信终端设备,Communication Terminal Equipment,,
002397,梦洁股份,Hunan Mendale Hometextile Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030203,纺织服装,Textiles & Apparel,03020303,纺织品,Textiles,,
002398,垒知集团,"Lets Holdings Group Co.,Ltd.",Shenzhen,01,原材料,Materials,0101,原材料,Materials,010103,建筑材料,Construction Materials,01010303,其他建材,Other Construction Materials,,
002399,海普瑞,Shenzhen Hepalink Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
002400,省广集团,"GUANGDONG ADVERTISING GROUP CO.,LTD",Shenzhen,03,可选消费,Consumer Discretionary,0304,传媒,Media,030401,传媒,Media,03040101,营销与广告,Marketing & Advertising,,
002401,中远海科,"COSCO SHIPPING Technology Co., Ltd.",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002402,和而泰,Shenzhen H&T Intelligent Control Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020201,电子设备及仪表制造商,Electronic Equipment & Instrument Manufacturer,,
002403,爱仕达,"AISHIDA CO.,LTD.",Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020104,家用器具与特殊消费品,Housewares & Specialties,,
002404,嘉欣丝绸,Zhejiang Jiaxin Silk Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030203,纺织服装,Textiles & Apparel,03020301,服装服饰,Apparel,,
002405,四维图新,NavInfo Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070103,软件开发,Software Development,07010301,软件开发,Software Development,,
002406,远东传动,Xuchang Yuandong Drive Shaft Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
002407,多氟多,Do-Fluoride Chemicals Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010101,化学原料,Chemical Materials,01010101,化学原料,Chemical Materials,,
002408,齐翔腾达,Zibo Qixiang Tengda Chemical Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010101,化学原料,Chemical Materials,01010101,化学原料,Chemical Materials,,
002409,雅克科技,Jiangsu Yoke Technology Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010207,其他化学制品,Other Chemicals,,
002410,广联达,Glodon Software Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070103,软件开发,Software Development,07010301,软件开发,Software Development,300信息,CSI 300 Info Technology
002411,延安必康,YanAn Bicon Pharmaceutical Listed Company,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,300医药,CSI 300 Health Care
002412,汉森制药,Hunan Hansen Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
002413,雷科防务,"JIANGSU LEIKE DEFENSE TECHNOLOGY CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020101,航空航天与国防,Aerospace & Defense,02010101,航空航天与国防,Aerospace & Defense,,
002414,高德红外,Wuhan Guide Infrared Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020201,电子设备及仪表制造商,Electronic Equipment & Instrument Manufacturer,,
002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070201,电脑与外围设备,Computers & Peripherals,07020101,电脑与外围设备,Computers & Peripherals,300信息,CSI 300 Info Technology
002416,爱施德,Shenzhen Aisidi Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0305,零售业,Retailing,030504,其他零售,Other Retail,03050401,其他零售,Other Retail,,
002417,深南股份,"SUNA Co.,Ltd",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002418,康盛股份,Zhe Jiang Kangsheng Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020103,家用电器,Household Appliances,,
002419,天虹股份,Rainbow Department Store Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0305,零售业,Retailing,030503,多元化零售,Multiline Retail,03050301,百货商店,Department Stores,,
002420,*ST毅昌,Guangzhou Echom Science & Technology Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020101,消费电子产品,Consumer Electronics,,
002421,达实智能,Shenzhen Das Intellitech Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070102,信息技术服务,IT Services,07010201,系统集成及IT咨询,System Integration & IT Consulting,,
002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,300医药,CSI 300 Health Care
002423,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",Shenzhen,06,金融地产,Financials,0602,其他金融,Other Financials,060201,其他金融服务,Other Financial Services,06020101,其它综合性金融服务, Other Diversified Financial Services,,
002424,贵州百灵,Guizhou Bailing Group Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
002425,凯撒文化,"Kaiser (China) Culture Co., LTD",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070101,互联网服务,Internet Services,07010102,移动互联网信息服务,Mobile Internet Information Service,,
002426,胜利精密,Suzhou Victory Precision Manufacture Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020101,消费电子产品,Consumer Electronics,,
002427,*ST尤夫,Zhejiang Unifull Industrial Fiber Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010205,纤维及树脂,Fiber and Resin,,
002428,云南锗业,Yunnan Lincang Xinyuan Germanium Industrial Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010105,有色金属,Non-ferrous Metal,01010504,稀有金属,Rare Metals,,
002429,兆驰股份,Shenzhen MTC Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020101,消费电子产品,Consumer Electronics,,
002430,杭氧股份,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010607,其他机械设备,Other Machinery,,
002431,棕榈股份,"PALM ECO-TOWN DEVELOPMENT CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010303,园林工程,Garden Engineering,,
002432,九安医疗,Andon Health Co Ltd,Shenzhen,05,医药卫生,Health Care,0501,医疗器械与服务,Health Care Devices and Services,050101,医疗器械,Health Care Devices,05010101,医疗器械,Medical Devices,,
002433,太安堂,Guangdong Taiantang Pharmaceutical Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
002434,万里扬,"Zhejiang Wanliyang Co., Ltd.",Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
